Geography,Count of 1,Sum of MIN Tract,Sum of LMI Tract,Sum of Total Persons,Sum of Total Families,Sum of Total HHs,Sum of Total Female Pop,Sum of Total Male Pop,Sum of Total Minority Pop,Average of Minority Pop as Percent of Tract Pop,Sum of Total Pop Hispanic only,Sum of Total Pop Non-Hispanic White,Sum of Total Pop Non-Hispanic American Indian/Alaska Native,Sum of Total Pop Non-Hispanic Native Hawaiian/other Pacific Islander,Sum of Total Pop Non-Hispanic Black/African American,Sum of Total Pop Non-Hispanic Asian,Sum of Total Pop Householder in Family HHs,Sum of Total Pop in Family HHs,Sum of Total Male Householders in Family HHs,Sum of Total Female Householders in Family HHs,Sum of Total Spouse Householder in Family HHs,Sum of Total Children in Family HHs,Sum of Total Grandchildren in Family HHs,Sum of Total Parents in Family HHs,Sum of Total Other Relatives in Family HHs,Sum of Total Non-relatives in Family HHs,Sum of Total Pop in Non-Family HHs,Sum of Total Male Households in Non-Family HHs,Sum of Total Male Householders living alone in Non-Family HHs,Sum of Total Male Householders not living alone in Non-Family HHs,Sum of Total Female Householders in Non-Family HHs,Sum of Total Female Householders living alone in Non-Family HHs,Sum of Total Female Householders not living alone in Non-Family HHs,Sum of Total nonrelatives in Non-Family HHs,Sum of Total Pop in Group Quarters,Sum of Total Pop 65 years and over,Sum of Total Population,Sum of Total Male Pop2,Sum of Total Male Pop 18 to 24 years,Sum of Total Male Pop 25 to 39 years,Sum of Total Male Pop 40 to 49 years,Sum of Total Male Pop 50 to 61 years,Sum of Total Male Pop 62 years and over,Sum of Total Female Pop2,Sum of Total Female Pop 18 to 24 years,Sum of Total Female Pop 25 to 39 years,Sum of Total Female Pop 40 to 49 years,Sum of Total Female Pop 50 to 61 years,Sum of Total Female Pop 62 years and over,Sum of Total Male/Female Pop 18 to 24 years,Sum of Total Male/Female Pop 25 to 39 years,Sum of Total Male/Female Pop 40 to 49 years,Sum of Total Male/Female Pop 50-61 years,Sum of Total Male/Female Pop 62 years and over,Average of Female Median Age,Average of Male Median Age,Average of Persons Median Age,Sum of Total Male Pop 16 and over,Sum of Total Male Pop 16 and over in Labor Force,Sum of Total Male Pop 16 and over in Armed Forces,Sum of Total Male Pop 16 and over - Civilians,Sum of Total Male Pop 16  and over - Employed,Sum of Total Male Pop 16 and over - Unemployed,Sum of Total Male Pop 16 and over - Not in Labor Force,Sum of Total Female Pop 16 and over,Sum of Total Female Pop 16 and over in Labor Force,Sum of Total Female Pop 16 and over in Armed Forces,Sum of Total Female Pop 16 and over - Civilians,Sum of Total Female Pop 16  and over - Employed,Sum of Total Female Pop 16 and over - Unemployed,Sum of Total Female Pop 16 and over - Not in Labor Force,Average of MFI - White,Average of MFI - Black,Average of MFI - American Indian/Alaska Native,Average of MFI - Asian,Average of MFI - Native Hawaiian/Pacific Islander,Average of MFI - Some other race,Average of MFI - Two or more races,Average of MFI - Hispanic or Latino,"Average of MFI - White, not Hispanic",Sum of Total Families2,Sum of Total Families with Income Below Poverty,Sum of Total Housing Units,Sum of Total Housing Units - Occupancy Status,Sum of Total Occupied Housing Units,Sum of Total Vacant Housing Units,Sum of Total Occupied Housing Units - Tenure,Sum of Total Owner Occupied Housing Units - Tenure,Sum of Total Renter Occupied Housing Units - Tenure,Average of Median Year Structure Built,Average of Median Gross Rent - Dollars,Average of Median Value (Dollars) for all Owner Occupied Housing Units,Average of MFI as Percent of MSA MFI,Average of MSA MFI,Sum of Low Income,Sum of Moderate Income,Sum of Middle Income,Count of Upper Income,Sum of LMI Pop,Sum of MIN Pop
"Maguabo County, PR",6,5,4,53440,12278,16568,27792,25648,53154,82.88333333,53024,286,2,0,68,30,12278,47040,6334,5944,7606,20760,1650,378,1696,1348,5524,2010,1632,378,2280,1996,284,1234,98,6718,53440,25648,2560,5466,2926,3360,4202,27792,2658,6256,3312,3772,4764,5218,11722,6238,7132,8966,29.33333333,27.83333333,28.33333333,19164,9900,0,9698,8282,1618,9264,20978,7076,0,6996,6080,996,13902,15827.33333,15925,0,12564,0,15450.33333,15472.33333,15171.66667,32342.83333,12278,5702,20084,20084,16568,3516,16568,13332,3236,1648.666667,318.3333333,75516.66667,61.75,27000,0,4,1,6,0,53440
"Mahaska County, IA",8,0,1,44762,12376,17976,22258,22504,2278,5.22,720,42484,94,8,502,500,12376,36142,8120,4256,10360,11592,406,80,148,1058,6786,2526,1816,710,3074,2708,366,1186,1836,7074,44762,22504,2338,3906,2984,3782,3780,22258,1996,3814,2854,3666,4760,4334,7720,5838,7448,8540,39.75,36.75,38.25,17386,13016,36,12238,12162,818,4370,17572,10856,0,10272,10180,676,6716,57574.75,2112.5,0,3810.125,0,937.125,9384.75,9404.75,57615.875,12376,1034,19548,19548,17976,1572,17976,13506,4470,1961.625,500.25,95100,99.73375,62000,0,1,7,8,0,0
"Mahnomen County, MN",3,2,3,10826,2710,3988,5322,5504,5430,50.66,198,5396,4296,2,22,6,2710,9016,1652,1058,1940,3330,398,102,142,348,1520,626,514,112,652,558,94,242,182,1708,10826,5504,366,906,614,934,990,5322,424,848,622,820,1130,790,1754,1236,1754,2120,37.66666667,36,37,3962,2680,0,2528,2230,450,1282,4010,2586,6,2388,2312,268,1424,53582.33333,0,34599.66667,72500,0,0,42351.66667,10833.33333,53744.33333,2710,430,5592,5592,3988,1604,3988,2978,1010,1967.333333,434.3333333,87200,78.62666667,63600,0,3,0,3,0,7880
"Mahoning County, OH",70,20,31,238823,63773,99024,123323,115500,53593,31.96971429,11136,185230,392,36,36400,1647,63773,194416,36217,27556,45564,69332,4832,2550,3154,3656,40945,15039,12527,2512,20212,18517,1695,5694,6538,42776,238823,115500,10415,19978,15681,21698,21510,123323,9751,19629,15950,22966,29907,20166,39607,31631,44664,51417,42.92857143,39.01428571,41.14285714,92993,60738,39,58130,53184,7515,32255,102515,56872,10,54254,52092,4770,45643,48549.44286,27083.8,0,17956.17143,0,5316.742857,5617.314286,18399.17143,49149.72857,63773,8063,112317,112317,99024,13293,99024,71548,27476,1955.714286,611.9571429,85061.42857,87.64657143,53700,13,18,27,70,29250,40820
"Major County, OK",4,0,0,15054,4472,6276,7660,7394,1796,11.34,1130,13258,260,6,64,50,4472,12852,3076,1396,4000,3820,192,46,118,190,1984,782,694,88,1022,950,72,180,138,2912,15054,7394,568,1180,964,1408,1556,7660,490,1182,998,1328,1884,1058,2362,1962,2736,3440,44,42.75,43.5,6036,4374,0,3996,4328,46,1662,5854,3276,0,3048,3180,96,2578,56060.75,0,25946.25,0,0,17507.75,37750,40776.25,58080.25,4472,354,7318,7318,6276,1042,6276,5086,1190,1972.25,498.5,79325,112.625,52700,0,0,3,4,0,0
"Malheur County, OR",8,2,1,31313,7011,10181,14387,16926,11407,30.12375,9867,19906,235,12,331,511,7011,23444,3777,3234,5387,8735,622,232,502,664,3847,1638,1383,255,1532,1353,179,677,4035,4571,31313,16926,1789,3643,2247,2498,2690,14387,1294,2413,1659,2109,2967,3083,6056,3906,4607,5657,33.375,30.875,31.625,13579,6661,11,6289,5842,808,6918,10579,6158,0,5865,5645,513,4421,42543.5,9513.875,19515,22472.625,0,42472,41012.5,29615.5,43140.5,7011,1064,11671,11671,10181,1490,10181,6578,3603,1720.75,497.125,125000,80.29625,53900,0,1,6,8,0,10563
"Manassas City County, VA",7,3,4,37821,8777,11732,18854,18967,19827,50.43571429,11876,17994,99,41,4905,1861,8777,31951,5250,3527,6530,12385,381,374,1471,1745,3963,1259,940,319,1696,1273,423,1008,153,2350,37821,18967,1883,4638,2667,2695,1500,18854,1746,4417,2815,2753,1960,3629,9055,5482,5448,3460,34.14285714,31.71428571,33,13407,11262,55,10860,10701,506,2145,13544,9136,16,8936,8314,806,4408,87419.85714,83211.42857,0,74917.14286,0,31016.42857,46855,40556.57143,98921,8777,899,13024,13024,11732,1292,11732,8003,3729,1982.714286,1292.142857,323457.1429,84.23714286,109400,0,4,3,7,0,19600
"Manassas Park City County, VA",3,3,2,28546,6512,8412,14062,14484,16406,57.66,9290,12140,62,34,3568,2522,6512,23956,3842,2670,4666,9330,626,390,936,1000,2434,786,478,308,1114,1078,36,534,0,1426,28546,14484,1426,4102,2270,1646,878,14062,1282,3886,2064,1578,1296,2708,7988,4334,3224,2174,31,30.66666667,30.66666667,9586,8236,72,8098,7864,300,1350,9682,6650,0,6590,6354,296,3032,80479,49170.33333,32746.66667,87171.66667,0,68300.66667,112428,62210,88916,6512,426,9612,9612,8412,1200,8412,5986,2426,1980.333333,1353.666667,299700,74.70333333,109400,0,2,1,3,0,28546
"Manatee County, FL",79,10,24,322833,84447,131200,166718,156115,85883,24.97708861,47955,236950,608,168,27228,5203,84447,256108,52107,32340,65870,78202,5782,4197,7170,6762,59183,19481,15147,4334,27272,23656,3616,12430,3328,72394,322833,156115,11663,24961,19924,24842,41071,166718,11170,25276,21042,28158,48443,22833,50237,40966,53000,89514,46.58227848,44.40506329,45.39240506,124503,78742,184,73182,71405,7153,45761,135389,70164,12,65762,64128,6024,65225,62094.6962,27112.97468,3164.56962,20678.48101,0,19679.41772,2808.291139,52421.31646,63879.68354,84447,7532,170719,170719,131200,39519,131200,97217,33983,1932.493671,1008.21519,224808.8608,99.67468354,62300,3,21,34,79,14910,46294
"Manati County, PR",10,9,4,44113,11239,15363,23074,21039,43843,89.453,43779,270,1,1,32,17,11239,39625,6406,4833,6934,15274,2328,390,1511,1218,4843,1761,1515,246,2363,2145,218,719,163,6366,44113,21039,1987,3935,2520,3107,3673,23074,2139,4446,2955,3577,4628,4126,8381,5475,6684,8301,34.7,31.6,33,15924,8597,42,8262,6677,1878,7327,18354,7275,0,7168,5451,1824,11079,18152.8,17038.6,0,0,0,10929.7,7465.6,17760.6,2031.2,11239,4742,17605,17605,15363,2242,15363,11274,4089,1776.7,400,95060,71.405,27000,1,3,5,10,3715,44113
"Manistee County, MI",11,0,1,49466,13918,21494,23854,25612,4662,7.966363636,1268,44804,986,28,1436,128,13918,38288,8786,5132,11240,10792,780,106,368,938,9004,3562,2746,816,4014,3348,666,1428,2610,9850,49466,25612,2184,4054,3694,4994,5892,23854,1350,3150,3128,5030,6558,3534,7204,6822,10024,12450,44.36363636,41.72727273,43.18181818,21344,11986,22,11318,10592,1372,9358,20054,10322,0,9966,9100,1222,9732,45595.54545,4090.909091,20473.54545,26590.90909,0,9409.090909,18011.81818,30102.54545,45551.09091,13918,1242,31300,31300,21494,9806,21494,17272,4222,1787.727273,574.1818182,114909.0909,88.53454545,54700,0,1,9,11,0,0
"Manitowoc County, WI",20,0,0,81442,22168,34171,40953,40489,6232,7.4455,2565,75210,395,10,412,2027,22168,66327,15194,6974,18569,22307,767,342,442,1219,14126,5676,4696,980,6327,5559,768,2123,1225,13500,81442,40489,3156,6888,6151,7783,7210,40953,2829,6495,6056,7349,9315,5985,13383,12207,15132,16525,40.9,38.7,39.85,32194,23980,15,23054,22151,1814,8214,33337,21082,0,20205,19722,1360,12255,58098.35,0,4495.8,28018.1,0,3821.4,16786.9,21662.6,58370.5,22168,1175,37082,37082,34171,2911,34171,26251,7920,1861,535.7,118455,101.37,61500,0,0,16,20,0,0
"Marathon County, WI",27,0,6,134063,36328,52708,66755,67308,13056,10.99407407,2992,121007,566,25,820,7107,36328,110972,24266,12062,30032,38531,1265,686,1078,2333,20099,7934,6161,1773,8446,7074,1372,3719,1573,18273,134063,67308,5552,12601,10124,11658,10450,66755,4961,12075,9815,11305,12653,10513,24676,19939,22963,23103,39.44444444,37.37037037,38.37037037,51668,39973,86,38255,36732,3155,11695,52148,34989,40,33553,33248,1701,17159,63551.66667,3089.37037,5280.074074,42566.51852,0,6993.148148,13368.62963,23530.85185,63673.44444,36328,2048,57017,57017,52708,4309,52708,39797,12911,1968.148148,638.1111111,133266.6667,95.5462963,63300,0,6,19,27,0,0
"Marengo County, AL",7,4,1,42054,11278,16988,22228,19826,22840,55.31428571,704,19214,62,18,21676,106,11278,35332,6232,5046,7140,12944,1156,284,1428,364,6374,2172,1992,180,3538,3286,252,664,886,6744,42054,19826,1820,3014,2644,3442,3656,22228,1728,3866,3004,3716,4782,3548,6880,5648,7158,8438,40.85714286,38.85714286,40.14285714,15282,8116,58,7722,7056,1002,7166,17700,8848,0,8488,7992,856,8852,60609.85714,30488.57143,1309.428571,0,0,0,15900.57143,714,60575,11278,1946,20532,20532,16988,3544,16988,12482,4506,1976.142857,526.4285714,83228.57143,102.8771429,47000,0,1,5,7,0,30885
"Maricao County, PR",3,3,1,12552,2398,3300,6348,6204,12490,99.53333333,12474,62,0,2,6,6,2398,11262,1246,1152,1246,6070,330,284,438,222,1200,586,508,78,316,222,94,298,26,1480,12552,6204,630,1212,824,952,982,6348,674,1192,832,1042,1064,1304,2404,1656,1994,2046,37,35.33333333,36.33333333,4540,2460,0,2346,2298,162,2080,5110,1646,0,1646,1454,192,3464,13737.66667,0,0,0,0,14345.33333,0,13785.66667,0,2398,1452,4584,4584,3300,1284,3300,2312,988,1976.666667,287.6666667,84000,82.92333333,18600,0,1,2,3,0,12552
"Maricopa County, AZ",916,295,305,3817117,913798,1382002,1928652,1888465,1577062,40.55552402,1128741,2240055,59252,6723,177490,128301,913798,3090025,544174,369624,681134,1143759,69727,45052,94569,89741,614045,227678,168838,58840,240526,197251,43275,145841,47340,437464,3817117,1888465,195125,406246,260120,254336,257718,1928652,183492,400849,260015,275227,316128,378617,807095,520135,529563,573846,36.77947598,35.35371179,36.08187773,1402929,1029252,5074,987121,948406,75772,373677,1451597,850063,757,821240,792419,56887,601534,68438.81878,31071.48472,10489.41266,39571.96507,995.1975983,36745.56878,17367.03712,54804.14083,72789.44651,913798,91180,1596165,1596165,1382002,214163,1382002,916515,465487,1828.65393,1036.242358,255602.8461,104.5479694,64000,86,219,293,916,321381,1258395
"Maries County, MO",4,0,0,18352,5214,7230,9076,9276,528,2.8625,150,17824,104,2,48,10,5214,15920,2994,2220,4216,5396,244,54,418,268,2232,938,864,74,1078,968,110,216,254,3180,18352,9276,726,1480,1330,1634,1858,9076,654,1394,1324,1580,2064,1380,2874,2654,3214,3922,43,41,42,7190,4904,36,4608,4332,536,2286,7356,4200,0,3948,3932,268,3156,48455.5,7259.5,0,0,0,0,0,23252.75,48078,5214,534,9132,9132,7230,1902,7230,5932,1298,1972.5,488.25,113525,105.71,49700,0,0,4,4,0,0
"Marin County, CA",56,5,13,252409,62241,102727,128337,124072,68579,25.2325,39069,183830,531,436,6621,13577,62241,188546,37717,24524,49998,61470,1348,1829,3695,5419,51088,15815,11886,3929,24671,20884,3787,10602,8967,39383,252409,124072,8022,21273,20399,23770,23975,128337,6524,19939,20674,26015,29604,14546,41212,41073,49785,53579,44.82142857,43.125,44.16071429,99438,69752,173,64578,65378,4201,29686,103611,63067,27,58958,59799,3241,40544,118685.6964,15890.07143,749.3571429,92882.76786,0,30107.80357,52086.48214,83997.60714,120081.6964,62241,2417,110530,110530,102727,7803,102727,65720,37007,1894.410714,1548.178571,792241.3393,98.99392857,121600,2,11,28,56,12026,24374
"Marinette County, WI",13,0,4,41749,12173,19171,20991,20758,1489,3.200769231,522,40260,216,8,106,217,12173,32065,7925,4248,9693,8898,249,30,163,795,8100,3590,2870,720,3408,3007,401,1102,1854,7942,41749,20758,1649,3186,2886,4096,4582,20991,1551,3024,2950,3931,5327,3200,6210,5836,8027,9909,42.76923077,41,41.92307692,17056,11549,0,10974,10551,998,5507,17454,9902,0,9406,9232,670,7552,47369.38462,0,2961.538462,19230.84615,0,0,3854.307692,7398.230769,47675.46154,12173,1199,29757,29757,19171,10586,19171,14599,4572,1817.769231,539.9230769,104007.6923,82.86692308,61500,0,4,7,13,0,0
"Marion County, AL",8,0,1,30776,9062,12744,15483,15293,2267,6.84875,632,28509,94,7,1178,53,9062,25803,5947,3115,7069,7855,819,156,520,161,4013,1566,1374,192,2116,1987,129,331,976,5560,30776,15293,1150,2675,2259,2583,3092,15483,1205,2579,2151,2599,3818,2355,5254,4410,5182,6910,43.25,40.75,42.125,12108,7468,14,7146,6793,661,4640,12751,6214,0,5937,5791,423,6537,43346.375,9385.375,0,0,0,0,10168.25,0,42976.375,9062,1208,14755,14755,12744,2011,12744,9665,3079,1976,396.875,72812.5,99.11125,47000,0,1,6,8,0,0
"Marion County, AR",5,0,1,33306,10164,14478,16732,16574,1380,4.232,574,31926,198,8,56,74,10164,28182,6466,3698,9074,7622,476,140,170,330,5212,2050,1732,318,2264,2026,238,898,164,7630,33306,16574,1120,2090,2176,3350,4816,16732,978,2102,2160,3558,4990,2098,4192,4336,6908,9806,49.2,48,48.6,13968,7332,0,6932,6694,638,6636,14100,6490,0,6124,6144,346,7610,41346.6,0,17779.2,0,0,2732.2,15020.8,23142.8,41310.6,10164,1236,18488,18488,14478,4010,14478,11810,2668,1979.4,516.8,90980,97.484,46300,0,1,4,5,0,0
"Marion County, FL",63,5,15,331298,91513,133966,172305,158993,86162,24.85571429,36137,245136,983,121,39337,4337,91513,269048,54985,36528,71836,77955,6931,3698,7093,7330,51605,17616,13703,3913,24837,21764,3073,9152,6180,81128,331298,158993,12006,23492,19604,24317,46643,172305,11736,25239,21207,28909,53964,23742,48731,40811,53226,100607,45.41269841,43.36507937,44.47619048,128188,69895,228,64862,61482,8185,58293,142457,67425,0,63264,60586,6839,75032,46674.50794,25881.46032,2507.412698,24568.33333,0,12241.69841,11978.5873,32755.22222,47915.60317,91513,10194,161264,161264,133966,27298,133966,105672,28294,1923.777778,787.7936508,140131.746,97.33,47300,0,15,35,63,0,28454
"Marion County, GA",3,1,1,17484,3820,6342,8874,8610,7284,42.32666667,1140,10200,80,26,5674,154,3820,13980,2022,1798,2546,4866,1150,188,572,522,2806,1302,1210,92,1220,1070,150,284,20,2218,17484,8610,864,1288,1276,1626,1458,8874,764,1440,1372,1532,1672,1628,2728,2648,3158,3130,40.33333333,39.66666667,40.33333333,6556,3954,6,3856,3632,316,2602,6544,3638,10,3444,3082,546,2906,56302,38589.66667,0,27917,0,26944.66667,25602,23639,56302,3820,574,7950,7950,6342,1608,6342,4720,1622,1984.666667,421.6666667,75666.66667,97.24333333,58200,0,1,2,3,0,4219
"Marion County, IA",8,0,1,33309,9062,12522,16768,16541,1475,4.545,531,31834,44,6,211,379,9062,27763,5934,3128,7865,9636,218,235,288,331,4091,1488,1292,196,1972,1746,226,631,1524,5213,33309,16541,1730,2752,2207,2748,2763,16768,1668,2742,2218,2651,3468,3398,5494,4425,5399,6231,38.25,36.5,37.5,12792,9471,14,8842,8989,468,3321,13274,8532,0,8110,8081,451,4742,61545.375,28130.75,4593.75,8962.5,0,0,7013.875,6962.875,61541.25,9062,583,13862,13862,12522,1340,12522,9543,2979,1965.625,612.875,124287.5,109.8875,62000,0,1,4,8,0,0
"Marion County, IL",12,0,3,39437,10952,16148,20256,19181,2981,7.8925,542,36456,105,9,1536,224,10952,33282,6584,4368,8130,11269,977,149,583,1014,5907,2346,2024,322,2850,2576,274,711,533,6861,39437,19181,1654,3313,2555,3317,3669,20256,1567,3265,2675,3474,4710,3221,6578,5230,6791,8379,42.33333333,39.16666667,40.58333333,15237,10510,11,9936,9276,1223,4727,16358,8924,0,8554,8159,765,7434,49299.5,15293.75,0,0,0,1382.583333,9107.166667,24462.83333,49298.91667,10952,1331,18345,18345,16148,2197,16148,12047,4101,1965.75,598.25,69975,89.79833333,60100,0,3,9,12,0,0
"Marion County, IN",224,83,124,903393,211289,357081,467706,435687,365488,43.55995536,84466,537905,1954,333,238454,18119,211289,688912,109261,102028,136718,260570,20538,7991,18025,22930,183814,68197,53816,14381,77595,65544,12051,38022,18250,95078,903393,435687,45338,101017,59618,64385,49720,467706,49251,104455,62257,70975,69872,94589,205472,121875,135360,119592,35.66071429,33.30357143,34.55803571,328167,243663,580,234502,218071,25012,84504,363771,234568,112,227036,211949,22507,129203,61092.34821,36122.21429,499.8928571,18807.96875,0,14281.96429,8482.15625,21899.61161,62593.74554,211289,28430,416723,416723,357081,59642,357081,210098,146983,1964.142857,772.5401786,125871.8795,83.45290179,68900,46,78,66,224,136259,287989
"Marion County, KS",5,0,0,25320,7316,10126,12576,12744,1336,5.254,592,23984,126,14,190,50,7316,20076,4928,2388,6406,5770,160,28,136,244,3070,1288,1088,200,1522,1440,82,260,2232,5332,25320,12744,1252,1688,1646,2304,2760,12576,1060,1656,1646,2114,3462,2312,3344,3292,4418,6222,45.4,42.2,43.6,10036,7042,18,6324,6776,248,2994,10314,5682,0,5100,5528,154,4632,55339.6,0,18050,0,0,10166.6,12123,52242.2,55416.2,7316,394,11960,11960,10126,1834,10126,8474,1652,1953.6,494.2,78660,104.972,57700,0,0,5,5,0,0
"Marion County, KY",7,0,0,39640,9356,14270,19156,20484,5070,10.65142857,964,34570,52,4,3186,230,9356,30534,5432,3924,7220,11960,620,104,346,738,5692,2282,1864,418,2632,2406,226,778,3012,4876,39640,20484,1640,4698,3188,3202,2808,19156,1384,3450,2782,3054,3658,3024,8148,5970,6256,6466,39,36.71428571,37.71428571,15860,9078,74,8596,8400,604,6782,14770,7796,0,7484,7432,364,6974,52353.85714,15114.28571,0,0,0,0,714,0,52445.57143,9356,1174,16102,16102,14270,1832,14270,11394,2876,1976.285714,579,95200,115.4942857,46900,0,0,4,7,0,0
"Marion County, MO",9,0,0,57562,15202,22768,29854,27708,5158,9.144444444,782,52404,92,40,2800,306,15202,45714,9234,5968,11612,15426,1116,184,770,1218,8794,3464,2856,608,4102,3574,528,1228,2650,9188,57562,27708,2598,5052,3850,4606,4648,29854,2746,5294,3920,4782,6290,5344,10346,7770,9388,10938,39.33333333,37,38.22222222,21060,14618,32,13748,13424,1162,6442,23750,13834,40,13082,13166,628,9916,52116.11111,18936.22222,0,3576.444444,0,0,20800.77778,22974.66667,52030.22222,15202,1806,25632,25632,22768,2864,22768,15328,7440,1963.777778,512,93100,111.6555556,49700,0,0,7,9,0,0
"Marion County, MS",7,2,1,54176,13660,19302,27992,26184,18854,35.95,672,35322,84,18,17458,168,13660,46172,7524,6136,9654,17288,2652,336,1304,648,5970,2232,1972,260,3410,3378,32,328,1374,7840,54176,26184,2312,5024,3456,4228,4104,27992,2302,5132,3690,4382,5682,4614,10156,7146,8610,9786,38.71428571,35.28571429,37.14285714,19528,11722,52,10986,10834,836,7806,21738,9404,0,9086,8630,774,12334,51026.14286,28358,0,0,0,0,20881.14286,1750,51150,13660,2414,23254,23254,19302,3952,19302,15494,3808,1976.857143,575.1428571,79385.71429,102.3157143,44800,0,1,5,7,0,8182
"Marion County, OH",18,0,5,66501,17026,24863,31626,34875,6768,10.18277778,1503,59733,97,27,3754,326,17026,51734,9990,7036,12554,17265,1689,418,836,1557,9128,3339,2864,475,4498,3837,661,1291,5668,9223,66501,34875,3271,7176,5440,6217,5197,31626,2626,5506,4248,5481,6610,5897,12682,9688,11698,11807,39.11111111,37.44444444,38.77777778,28183,16515,0,15840,14990,1525,11668,25355,14616,0,14083,13680,936,10739,47661.27778,8849.277778,0,13888.94444,0,0,9655.722222,7118.666667,47693.5,17026,2235,27702,27702,24863,2839,24863,17755,7108,1847,613.5,91555.55556,89.83666667,56900,1,4,10,18,4648,0
"Marion County, OR",58,9,13,315335,77101,112773,158218,157117,98577,29.31362069,76594,216758,3290,2254,2906,5790,77101,253927,44241,32860,57943,92535,4577,2407,6823,8881,44387,14867,10981,3886,20805,17869,2936,8715,11580,39261,315335,157117,15934,32523,20348,23296,22200,158218,14902,30475,19487,24672,28117,30836,62998,39835,47968,50317,36.9137931,34.5862069,35.81034483,117509,80338,289,77329,71490,8559,37171,119778,70365,23,68004,63779,6563,49413,58328.68966,5890.465517,24480.06897,22412.60345,3792.689655,31022.01724,27417.51724,43254.46552,60234.77586,77101,9041,119630,119630,112773,6857,112773,69943,42830,1974.482759,776.3448276,211467.2414,100.7725862,57200,0,13,33,58,0,57956
"Marion County, SC",8,7,2,33062,8670,12234,17946,15116,19832,61.00625,791,13230,133,2,18365,176,8670,28804,3546,5124,4767,10730,1918,470,1044,533,4288,1586,1352,234,1978,1827,151,724,476,4718,33062,15116,1308,2610,1907,2706,2519,17946,1468,3099,2335,3345,3694,2776,5709,4242,6051,6213,41.375,37.375,39.5,11891,7468,0,7113,6543,925,4423,14551,7560,0,7312,6619,941,6991,50917.25,28554.125,0,0,0,0,3411.5,2812.5,51011.75,8670,1856,15052,15052,12234,2818,12234,8130,4104,1975.5,560.625,79612.5,85.2175,46400,0,2,6,8,0,28171
"Marion County, TN",7,0,2,56474,15904,22610,28732,27742,3818,6.415714286,722,52656,222,2,2014,222,15904,48730,9322,6582,11824,16434,1396,480,964,1362,7354,2970,2658,312,3736,3418,318,648,162,8504,56474,27742,2248,4944,3992,5012,5170,28732,2162,4864,4064,5438,6266,4410,9808,8056,10450,11436,43.57142857,40.42857143,42.14285714,21880,13904,6,13268,12430,1468,7976,23276,11572,0,11154,10612,960,11704,48135.42857,15789,6552.285714,15369,0,4107,35933.85714,43896.57143,48049.57143,15904,2438,25944,25944,22610,3334,22610,17412,5198,1979.428571,623.4285714,109728.5714,86.72285714,59000,0,2,5,7,0,0
"Marion County, TX",5,0,2,21092,6146,9488,10750,10342,5964,28.972,656,15128,144,6,4638,100,6146,17600,3234,2912,4252,4798,586,290,338,792,3768,1774,1600,174,1568,1444,124,426,174,4522,21092,10342,700,1328,1406,2162,2624,10750,668,1536,1454,2148,3048,1368,2864,2860,4310,5672,48.2,46.6,47.4,8628,4978,0,4714,4402,576,3650,9286,4022,0,3836,3604,418,5264,43645,30782.2,9670.4,6315.8,0,13583.4,0,26201.6,43779.4,6146,1036,12590,12590,9488,3102,9488,7570,1918,1974.8,617.2,70920,85.288,52800,0,2,3,5,0,0
"Marion County, WV",18,0,3,56418,15027,22744,28872,27546,3544,7.759444444,514,52874,101,5,1838,281,15027,45288,8163,6864,11344,15123,989,514,851,926,9715,3241,2420,821,4476,3890,586,1998,1353,9457,56418,27546,2894,5284,3590,5062,4975,28872,2827,5254,3685,4965,6677,5721,10538,7275,10027,11652,42.22222222,39.05555556,40.5,22232,14340,0,13839,13431,909,7892,24220,12314,10,11828,11668,636,11906,46999.38889,11443.61111,0,13888.94444,0,0,14385.33333,0,47078,15027,1699,26584,26584,22744,3840,22744,17071,5673,1957.277778,563.3888889,91294.44444,108.6977778,48900,1,2,8,18,1312,0
"Mariposa County, CA",7,0,0,36502,10178,15448,17964,18538,6118,16.97142857,3352,30384,918,52,258,402,10178,28796,5820,4358,7958,8336,430,202,512,982,6386,2578,2164,414,2692,2192,500,1116,1398,7248,36502,18538,1292,2594,2466,4140,4800,17964,1096,2388,2422,4102,4718,2388,4982,4888,8242,9518,47.71428571,48.28571429,47.85714286,15442,9646,0,9220,8326,1320,5796,15174,7642,0,7194,6734,908,7532,57754.42857,5982.142857,29100.57143,17086.28571,0,714,31472.71429,17774.71429,59377.28571,10178,1030,20152,20152,15448,4704,15448,10820,4628,1977.142857,672.8571429,269600,102.4214286,56900,0,0,6,7,0,0
"Marlboro County, SC",8,5,4,57866,13288,19536,27346,30520,34552,57.6775,1600,23314,2530,6,29304,148,13288,45682,5778,7510,7458,18248,2316,638,1542,1092,6738,2738,2544,194,3510,3298,212,490,5804,7476,57866,30520,2696,7732,4676,4770,4192,27346,2178,4690,3850,4908,5528,4874,12422,8526,9678,9720,41.125,37.375,39,24718,11656,4,11102,9720,1932,13062,21788,11010,150,10462,9248,1612,10778,48176,25948.75,20240.625,12924,0,0,14326.625,27496.625,47876.125,13288,3102,24130,24130,19536,4594,19536,12938,6598,1976.375,500.75,63525,80.63125,46400,0,4,3,8,0,47591
